# Green Grocers Sales (in AUD)
Date,Product,Quantity Sold,Total Amount (AUD)
2024-12-24,Organic Carrots (1kg),9,27.00
2024-12-24,Free-Range Eggs (Dozen),10,60.00
2024-12-24,Local Honey Jar (500g),1,12.00
2024-12-24,Almond Milk (1L),7,35.00
2024-12-24,Fresh Baguette,10,40.00
2024-12-24,Wholegrain Bread Loaf,2,12.00
2024-12-24,Greek Yogurt (500g),2,10.00
2024-12-24,Organic Bananas (1kg),1,3.50
2024-12-24,Avocados,4,8.00
2024-12-24,Fresh Strawberries (250g),4,24.00
2024-12-24,Oatmeal (1kg),4,18.00
2024-12-24,Tomatoes (500g),7,28.00
2024-12-24,Bell Peppers (Mixed),7,31.00
2024-12-24,Almond Butter (250g),9,72.00
2024-12-24,Granola Mix (500g),3,36.00
2024-12-24,Spinach (Bunch),3,9.00
2024-12-24,Organic Apples (Bag of 6),7,35.00
2024-12-24,Celery Sticks (Pack),4,10.00
2024-12-24,Frozen Mixed Berries (1kg),5,40.00
2024-12-24,Fresh Orange Juice (1L),7,42.00
