# Tech Emporium Sales Summary (Date: 2024-12-24)
Product Description,Quantity Sold,Total Revenue (USD)
Wireless Mouse from Tech Emporium,1,40.00
Mechanical Keyboard from Tech Emporium,4,400.00
USB-C Hub from Tech Emporium,3,90.00
Noise-Cancelling Headphones from Tech Emporium,8,200.00
External SSD (1TB) from Tech Emporium,5,600.00
Webcam (1080p) from Tech Emporium,9,270.00
Laptop Stand from Tech Emporium,10,200.00
Gaming Chair from Tech Emporium,4,1200.00
Portable Charger from Tech Emporium,2,80.00
HDMI Cable (2m) from Tech Emporium,10,120.00
Smartphone Tripod from Tech Emporium,5,100.00
Noise-Cancelling Earbuds from Tech Emporium,3,300.00
Webcam Cover from Tech Emporium,6,30.00
External Monitor (27-inch) from Tech Emporium,3,900.00
Ergonomic Desk Mat from Tech Emporium,9,450.00
Bluetooth Speaker from Tech Emporium,2,300.00
Monitor Arm Mount from Tech Emporium,5,250.00
Smart Light Strip from Tech Emporium,9,180.00
Wireless Charging Pad from Tech Emporium,1,40.00
Mechanical Keyboard Switches (Pack) from Tech Emporium,6,90.00
